frame,type,x,y
11900,Alien2,250,0
11950,Alien1,500,0
12000,PowerUp-SpeedUp,300,0
12100,Alien1,400,0
12150,Alien2,200,0
12200,Alien1,350,0
12250,Alien2,150,0
12300,PowerUp-MultiShot,450,0
12350,Alien1,250,0
12400,Alien2,500,0
12450,Alien1,300,0
12500,PowerUp-SpeedUp,400,0
12550,Alien2,200,0
12600,Alien1,350,0
12650,Alien2,150,0
12700,Alien1,450,0
12750,PowerUp-MultiShot,300,0
12800,Alien2,250,0
12850,Alien1,500,0
12900,Alien2,350,0
12950,Alien1,200,0
13000,PowerUp-SpeedUp,400,0
13100,Alien1,300,0
13150,Alien2,150,0
13200,Alien1,450,0
13250,Alien2,250,0
13300,PowerUp-MultiShot,350,0
13350,Alien1,200,0
13400,Alien2,500,0
13450,Alien1,400,0
13500,PowerUp-SpeedUp,300,0
13550,Alien2,150,0
13600,Alien1,350,0
13650,Alien2,250,0
13700,Alien1,450,0
13750,PowerUp-MultiShot,200,0
13800,Alien2,300,0
13850,Alien1,400,0
13900,Alien2,150,0
13950,Alien1,500,0
14000,PowerUp-SpeedUp,350,0
14100,Alien1,250,0
14150,Alien2,450,0
14200,Alien1,200,0
14250,Alien2,300,0
14300,PowerUp-MultiShot,400,0
14350,Alien1,150,0
14400,Alien2,350,0
14450,Alien1,250,0
14500,PowerUp-SpeedUp,500,0
14550,Alien2,200,0
14600,Alien1,400,0
14650,Alien2,300,0
14700,Alien1,150,0
14750,PowerUp-MultiShot,350,0
14800,Alien2,450,0
14850,Alien1,250,0
14900,Alien2,350,0
14950,Alien1,200,0
15000,PowerUp-SpeedUp,400,0
15100,Alien1,300,0
15150,Alien2,500,0
15200,Alien1,150,0
15250,Alien2,350,0
15300,PowerUp-MultiShot,250,0
15350,Alien1,450,0
15400,Alien2,200,0
15450,Alien1,300,0
15500,PowerUp-SpeedUp,400,0
15550,Alien2,150,0
15600,Alien1,350,0
15650,Alien2,250,0
15700,Alien1,500,0
15750,PowerUp-MultiShot,300,0
15800,Alien2,400,0
15850,Alien1,200,0
15900,Alien2,350,0
15950,Alien1,150,0
16000,PowerUp-SpeedUp,450,0
16100,Alien1,250,0
16150,Alien2,400,0
16200,Alien1,300,0
16250,Alien2,500,0
16300,PowerUp-MultiShot,200,0
16350,Alien1,350,0
16400,Alien2,150,0
16450,Alien1,450,0
16500,PowerUp-SpeedUp,300,0
16550,Alien2,250,0
16600,Alien1,400,0
16650,Alien2,200,0
16700,Alien1,500,0
16750,PowerUp-MultiShot,350,0
16800,Alien2,300,0
16850,Alien1,150,0
16900,Alien2,450,0
16950,Alien1,250,0
17000,PowerUp-SpeedUp,400,0
17100,Alien1,200,0
17150,Alien2,350,0
17200,Alien1,300,0
17250,Alien2,500,0
17300,PowerUp-MultiShot,150,0
17350,Alien1,450,0
17400,Alien2,250,0
17450,Alien1,400,0
17500,PowerUp-SpeedUp,350,0
17550,Alien2,200,0
17600,Alien1,300,0
17650,Alien2,150,0
17700,Alien1,500,0
17750,PowerUp-MultiShot,400,0
17800,Alien2,250,0
17850,Alien1,350,0
17900,Alien2,200,0
17950,Alien1,450,0
18000,PowerUp-SpeedUp,300,0
